stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.28,0,0,0,0,0,0,17.12,5.35,0,0,0,1.07,0,0,0,0,0,0,0
21Day,1.34,0,0,5.35,0,0,0,0,0,0,0,0,0,0,5.35,1.34,8.03,0,0,1.34,0,4.02,1.34,0,0,0,8.03,0,2.68,0,1.34,0,0,0
3Month,0.32,0.64,0,2.56,0,0,0.32,1.28,0,8.64,0.64,0,1.28,1.92,1.92,0.96,2.56,1.28,0,0.32,0.64,0.32,0.32,0.32,0.32,0,0,1.28,74.87,0,0,1.6,264.6,2.24
22Month,1.09,8.2,4.37,18.04,0.55,0.55,1.64,10.39,16.95,127.92,5.47,1.09,8.75,1.09,4.92,4.92,18.59,0,4.92,3.28,0,1.09,0,0.55,1.09,562.51,0,0,37.72,1.09,0,1.09,0.55,3.28
