stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,49.04,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,4.09,0,0,0,0,8.17,110.33,0,0,0,0,0,0,0,0,0,0,0
72hpf,22.47,4.28,8.56,0,5.35,0,0,0,0,0,0,0,1.07,0,0,8.56,4.28,13.91,1.07,1.07,0,0,138,31.02,0,0,16.05,0,0,2.14,0,1.07,0,0,0
21Day,8.03,1.34,10.71,1.34,9.37,0,2.68,0,2.68,0,5.35,1.34,10.71,2.68,0,4.02,2.68,34.8,0,0,2.68,0,54.88,18.74,0,0,0,2.68,0,2.68,1.34,1.34,0,0,8.03
3Month,0.64,7.04,12.8,0,0,0.64,0.64,1.28,32.31,0,8.96,8.64,3.52,2.24,1.28,5.76,10.56,30.72,6.72,0,1.6,1.92,2.24,0.96,2.24,1.28,0.64,0,14.72,0,0,0,1.92,3.2,10.88
22Month,0.55,7.11,2.73,0.55,0,2.19,1.64,0.55,48.11,0.55,22.96,2.19,3.28,4.37,0.55,1.09,6.01,24.6,0,0.55,0,0,1.64,0.55,1.09,2.19,0,0,1.09,0,0,0,1.09,0,5.47
