stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Oligodendrocyte,Oocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
72hpf,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.23,2.14,0,0,0,0,0,0,0
21Day,0,0,0,0,2.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.09,1.34,0,0,2.68,0,0,0,0
3Month,0.32,0.32,0.32,4.16,0,0.64,0.32,1.28,2.24,0,7.04,1.28,1.6,0,0.64,1.28,1.6,0.32,0,0.64,140.14,0.32,0.32,0,0.96,42.87,0.64,9.28,0.96
22Month,0,2.73,0.55,2.19,0,0,0,0.55,2.73,0.55,24.05,1.64,6.01,0.55,0.55,0.55,3.28,0,1.09,1.64,7.65,0,0,1.09,0,3.28,0.55,0,2.73
