stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,36.78,0,0,0,0,0,0,0,4.09,0
72hpf,6.42,2.14,0,1.07,0,5.35,0,0,0,1.07,0,0,0,0,1.07,6.42,0,36.37,0,5.35,1.07,575.55,29.95,1.07,12.84,5.35,0,0,8.56,0,0,0
21Day,6.69,0,0,5.35,0,5.35,0,1.34,0,0,1.34,0,0,2.68,1.34,2.68,2.68,21.42,0,0,1.34,228.89,4.02,0,1.34,17.4,1.34,1.34,5.35,4.02,0,0
3Month,0.32,0,0,1.92,0.32,0,0.64,0,0.32,0.96,8.32,1.6,0,1.6,0,3.52,1.28,3.2,0.64,0,0,0.96,1.28,0.32,0,0,0,0.64,0,0,0.64,0.64
22Month,0,0.55,0.55,4.92,0.55,0,0,0,0.55,0.55,27.88,0,0.55,4.37,0,2.73,1.64,4.37,0,0,0,1.64,1.64,3.83,2.19,0,0,1.09,0.55,0,0.55,0
