stage,Epithelial_cell,Hepatocyte,Keratinocyte,Macrophage,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,4.09,0,0,0
72hpf,1.07,0,0,0,1.07,0,0,0,0
21Day,0,0,0,0,1.34,0,0,0,0
3Month,0,0.64,0.32,0.32,0,0,0.32,0.64,0.32
22Month,0,0.55,0,0,0,0,0,0,0
