stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Spermatocyte
24hpf,8.17,0,0,0,0,0,0,0,0,0,0,4.09,4.09,0,0,0,0,0
72hpf,4.28,1.07,1.07,2.14,0,0,0,0,0,5.35,1.07,294.19,3.21,0,1.07,0,2.14,0
21Day,0,0,4.02,1.34,1.34,0,0,1.34,0,2.68,0,125.82,0,4.02,1.34,0,0,0
3Month,0,0,0,0,0,0,0,0.32,0,0,0,0,0,0,0,0.32,0,0.32
22Month,0,0,0,0,0,0.55,3.28,0,0.55,0.55,0,0,0,0,0,0,0,0
