stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0
72hpf,2.14,0,0,0,8.56,0,0,0,0,0,0,0,1.07,6.42,0,1.07,0,0,209.68,8.56,0,1.07,0,0,1.07,1.07,1.07,0,0
21Day,1.34,0,0,1.34,25.43,0,0,0,0,0,1.34,2.68,0,0,0,2.68,0,0,74.96,2.68,0,2.68,1.34,1.34,0,0,1.34,0,0
3Month,0,0.64,2.88,0,0,0.32,0.64,0,0.64,10.24,0,0.64,0,0,0,0.32,0.32,0.64,1.28,0,1.28,0,0,2.88,0.32,0,0,0.64,0.32
22Month,0.55,0.55,0.55,0,0,0.55,0,2.19,10.39,10.39,0.55,2.19,0,0,0.55,1.09,0,0,2.73,0,1.09,0,0,7.65,1.64,0,0,0,0
