stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0
72hpf,44.93,0,2.14,1.07,0,0,0,0,0,0,0,1.07,0,0,0,0,1.07,0,1.07,3.21,0,2.14,0,0,2.14,0,0,0,0,0,0,0
21Day,32.12,2.68,0,0,0,1.34,0,0,0,0,0,0,0,0,1.34,0,0,0,0,1.34,0,0,0,0,0,0,0,0,0,0,0,0
3Month,69.43,2.88,0,0,0,0,0.32,0.96,0,7.68,1.92,0,1.28,0.32,1.28,1.6,1.6,0.32,0,0,0.32,0,0,0.32,0,1.6,2.88,4.16,0,3.2,1.6,2.24
22Month,148.14,2.73,0,0,0.55,0.55,0.55,5.47,1.64,44.28,2.73,0.55,4.37,0,0.55,1.09,4.37,0,0.55,0.55,0,0,0.55,0.55,0,0,0.55,20.23,0.55,0,0,2.19
