stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,4.09,0,4.09,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,3.21,0,0,0,0,0,0,0,1.07,5.35,0,0,0,0,38.51,1.07,0,0,1.07,0,3.21,0,0
21Day,0,0,6.69,0,0,1.34,0,1.34,0,0,1.34,5.35,0,0,0,0,20.08,0,0,0,0,0,0,2.68,0
3Month,0.32,0,6.08,0.32,0.32,2.24,0,7.04,0.96,2.24,1.28,1.28,2.56,0.96,0.64,0.64,1.28,0.32,0,0,0.32,2.56,0,0,0.96
22Month,0,0.55,2.19,0,1.09,1.64,1.09,20.23,0,1.09,0,0,1.09,1.64,0,0,0,0,0.55,0.55,0,0.55,0.55,0,0.55
