stage,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Radial_glia,T_cell
24hpf,0,0,0,0,0,0,4.09,0,4.09,0,0
72hpf,0,0,0,0,0,1.07,0,5.35,1.07,0,0
21Day,0,1.34,0,0,0,0,0,1.34,0,1.34,1.34
3Month,0.32,0,4.16,0.32,0.32,0,0.32,0,0,0,0
22Month,0,0,0.55,1.09,0,0,0,0,0,0,0
