stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,16.35,0,0,0,0,4.09,0,0,0,0,0,0,4.09,0,0,0,228.84,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,2.14,1.07,1.07,0,0,2.14,0,1.07,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,4.02,0,0,1.34,0,0,0,2.68,0,1.34,0,0,0,0
3Month,0,0.96,0.32,2.24,1.28,0,4.16,0.32,0,0.32,0.64,0.64,1.92,0.64,0.32,0,0,0,0.96,24.96,0,0,0,7.36,3.84,0.32
22Month,0,0.55,0,0,0.55,0,8.2,0.55,1.09,0,0.55,0.55,0.55,0,0,0.55,0,0.55,0,4.37,0,0,0,0.55,0,0
