stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,89.9,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,7.49,1.07,0,0,0,0,0,0,0,0,172.24,0,2.14,0,1.07,0,7.49,4.28,2.14,0,0,2.14,0,0,0
21Day,0,36.14,1.34,0,0,0,2.68,0,0,1.34,2.68,17.4,1.34,1.34,0,0,0,1.34,0,1.34,1.34,0,0,0,0,0
3Month,0,20.8,0,0,0.64,0.32,81.91,0.64,0,0.96,0,1.6,0.32,0,0.32,0.96,0.32,0.32,0,0,0.96,0.32,0,0.64,0.32,0.32
22Month,0.55,6.56,0,0.55,0,1.09,137.21,0,0.55,1.09,0.55,0.55,1.64,1.64,0,6.56,0,0.55,0,0,0.55,1.09,0,0,0,0
