stage,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Neural_cell,Pancreatic_cell,Primordial_germ_cell,Spermatocyte
72hpf,0,0,0,0,0,0,0,0,1.07,16.05,0,0,0
21Day,0,1.34,0,0,0,0,0,0,0,0,0,1.34,0
3Month,0.32,1.28,0.64,0.32,1.28,0.96,0.32,0.32,0,0,0.32,25.28,3.52
22Month,0,0,0,0,1.64,0.55,0.55,1.09,0,0.55,0,8.2,0
