stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,8.17,0,98.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.78,0,0,8.17,192.06,4.09,0,4.09,0,0,0,0,0,0,0,0,0
72hpf,6.42,5.35,0,18.19,3.21,4.28,0,0,0,0,0,0,0,1.07,0,2.14,14.98,2.14,33.16,1.07,3.21,1075.14,115.54,12.84,49.21,50.28,3.21,0,22.47,0,0,9.63,0,0,0
21Day,9.37,0,8.03,52.2,2.68,21.42,0,2.68,0,0,0,0,0,8.03,4.02,0,9.37,0,33.46,0,1.34,825.87,44.17,17.4,14.72,17.4,20.08,0,8.03,1.34,17.4,0,0,0,4.02
3Month,0,1.92,0,15.68,0,0,0,0,1.92,1.28,0,10.24,0.96,1.6,6.4,0.96,4.16,1.92,3.52,0,0,8.64,0.96,33.91,2.56,0.32,1.28,6.72,0.32,0,0,0.96,1.28,4.48,1.28
22Month,0,4.92,0.55,10.93,0,0,0.55,0,0,5.47,1.09,59.04,2.19,2.73,4.37,1.09,0,12.57,3.83,3.28,0,3.83,0,30.07,2.73,0,0.55,12.03,2.19,0,0,0,1.09,0,1.64
