stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,12.26,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,40.86,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,1.07,0,0,0,0,0,0,1.07,2.14,0,2.14,0,8.56,8.56,0,0,0,3.21,0,0,1.07,0,0,0,0
21Day,0,0,6.69,0,1.34,0,0,0,0,1.34,0,0,1.34,0,2.68,1.34,1.34,6.69,0,0,0,0,1.34,6.69,0,1.34,0,1.34,1.34
3Month,0.64,0.64,7.36,0,0,0.64,4.16,6.72,2.88,0.32,4.16,0.32,1.92,4.16,0.32,0.64,0.32,0.32,0.32,0.96,0,0,1.92,49.91,0,0,1.28,84.15,2.24
22Month,1.64,0,1.64,0.55,0,0,3.28,12.57,0,0.55,0.55,0,0.55,1.09,0.55,0,0,0,0,0.55,1.09,0,0,4.92,0,0,0,0,0
