stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0,36.78,0,0,0,12.26,130.76,4.09,0,0,0,0,0,0,0,0,0,0
72hpf,6.42,1.07,0,7.49,9.63,0,0,1.07,0,0,0,0,0,13.91,1.07,14.98,0,0,0,1232.4,39.58,10.7,1.07,19.26,0,0,9.63,20.33,12.84,1.07,0,0
21Day,5.35,1.34,0,22.76,10.71,2.68,0,0,1.34,1.34,2.68,1.34,1.34,5.35,5.35,16.06,0,0,0,519.35,18.74,8.03,8.03,8.03,18.74,0,12.05,40.16,200.78,0,0,1.34
3Month,0,0,0,1.28,0,0,0.32,1.28,5.12,0.64,0,2.24,0,0.96,0.32,1.6,0,0,0.32,15.04,0,6.08,0.32,0,0,6.08,0,0,0,0,5.44,0.32
22Month,0,0.55,0.55,1.09,0,0.55,0,2.73,24.6,0.55,0.55,1.64,0,0,1.64,3.28,0.55,0.55,0,5.47,0,6.56,0,0,0,1.09,1.09,1.09,0,0,0,0
