stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,24.52,0,0,0,0
72hpf,2.14,0,1.07,1.07,0,0,0,0,0,1.07,1.07,0,1.07,0,5.35,3.21,0,104.84,0,0
21Day,0,0,0,0,1.34,0,0,1.34,0,0,0,0,0,0,12.05,0,0,0,0,1.34
3Month,0,0.32,0,0,0,0,5.44,0.32,0,0,0,0,0,0,0,0,0,0,0,0.64
22Month,0,0,0.55,0,0,0.55,18.59,0,0.55,0,1.09,1.64,0.55,0.55,0,0,0.55,0,0.55,0.55
