stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0,2.14,0,0,0,0,0,0,0,40.65
21Day,1.34,1.34,0,48.19,54.88,0,0,0,0,0,1.34,70.94,1.34,1.34,1.34,1.34,17.4,0,0,2.68,0,12.05,1.34,0,1.34,5.35,6.69,0,0,0,588.95
3Month,0,0.32,0.64,8,0,0.64,0.96,0.64,0,10.88,2.56,0.64,1.28,0.32,1.92,1.6,2.56,0.32,0,0.96,4.16,0,0,0.32,0,0,0.64,3.2,0,0.32,348.42
22Month,0,0,0,0.55,0,0,0,0.55,6.56,21.87,0,0,0.55,0,1.09,6.01,2.73,0,0.55,0,0,0,0,0,0,0,0,0,0.55,0,288.09
