stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,16.35,0,0,0,0,0,0,28.6,0,0,0,0,0,8.17,12.26,12.26,0,0,0,0,4.09,8.17,0,0,0,4.09,0,0,0,0,0,0
72hpf,1.07,1.07,0,5.35,2.14,0,0,0,0,0,0,0,0,0,0,2.14,12.84,0,3.21,0,0,0,0,2.14,0,0,0,0,1.07,0,0,0,0,0,0
21Day,0,0,0,9.37,1.34,0,0,0,2.68,0,0,0,0,2.68,1.34,0,1.34,2.68,2.68,0,0,0,0,4.02,0,1.34,0,0,0,0,0,0,0,0,0
3Month,0,1.28,0.32,62.07,0,0.96,0.96,14.4,8.32,0,0,17.28,18.24,0.96,21.12,1.28,12.48,11.52,6.08,0.32,0,3.52,0.64,1.28,0,0.32,0.32,0,0,0.96,5.44,0.32,0.64,2.88,4.48
22Month,0,2.19,0,14.21,0,0,0.55,4.92,4.37,7.11,0,48.65,8.75,0.55,18.04,0,2.19,7.11,2.73,0,1.09,3.28,0,0,0,2.19,0,0.55,0,0.55,2.73,0,0,0,1.64
