stage,Hepatocyte,Immune_progenitor_cell,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast
72hpf,0,0,0,41.72,5.35,1.07,1.07
21Day,0,1.34,1.34,12.05,1.34,0,0
22Month,1.09,0,0,0,0,0,0
