stage,Epithelial_cell,Erythrocyte,Hepatocyte,Neural_progenitor_cell,Smooth_muscle_cell
24hpf,0,0,0,4.09,0
21Day,0,1.34,0,0,0
3Month,0.96,0,0.32,0,0.32
