stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0,4.09,8.17,0,0,0,0,4.09,8.17,0,0,4.09,0,0,0,0,0,0
72hpf,0,0,0,4.28,0,1.07,0,0,0,0,0,0,0,0,1.07,4.28,0,0,0,0,0,22.47,2.14,0,0,2.14,0,0,1.07,0,0,0
21Day,1.34,0,1.34,8.03,0,0,0,0,0,0,0,0,1.34,0,0,1.34,0,2.68,0,0,0,12.05,0,1.34,0,0,0,0,0,0,0,0
3Month,0.32,0.96,0.64,21.44,0.32,0,0.64,1.6,0.64,0.32,21.12,1.28,0.32,14.72,2.88,6.72,4.16,2.24,0.96,2.56,1.92,1.28,0.32,1.6,0,0.32,0.64,19.84,0,1.6,8.32,4.48
22Month,0,0,0,1.64,0,0,0,0.55,1.09,0.55,15.31,0.55,0.55,9.84,1.64,1.09,2.19,2.73,0,0,0,0.55,0.55,0.55,0.55,0,0,4.92,0,0,0,1.64
