stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0
21Day,1.34,0,2.68,1.34,0,0,0,0,0,0,0,0,2.68,0,0,0,0,0
3Month,0,0.32,1.6,0,0.32,0.96,2.24,0.96,0.96,1.28,0.32,0.32,0.32,0,1.28,42.87,0.32,31.04
