stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,0,20.43,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,4.09,12.26,0,0,4.09,0,0,0,0,0,0,0,0
72hpf,17.12,1.07,0,9.63,5.35,5.35,0,0,0,0,0,0,0,8.56,44.93,1.07,27.81,1.07,0,1.07,1840.04,90.93,1.07,0,32.09,0,0,10.7,664.34,615.13,2.14,0,0
21Day,16.06,0,2.68,34.8,0,16.06,0,1.34,0,4.02,8.03,6.69,2.68,4.02,32.12,9.37,45.51,0,4.02,0,235.58,26.77,0,1.34,14.72,9.37,0,4.02,736.19,1276.96,4.02,1.34,10.71
3Month,0,0.32,0,4.16,0,0,0.32,0,3.52,0,1.92,0,14.4,2.88,0.64,0.96,0.96,0,0.32,3.2,8.64,0.32,0.32,0,0,0.32,0.32,0.32,8.32,10.88,0.32,0.96,1.28
22Month,0,0.55,0.55,2.73,0,0,0.55,0,1.64,0.55,4.37,0.55,27.88,0.55,0,0,0.55,0.55,0.55,0,6.01,0,0,0.55,0,0,0.55,1.64,27.88,3.83,0,0,0.55
