stage,Epithelial_cell,Hepatocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast
24hpf,8.17,0,8.17,8.17,8.17,57.21,4.09
72hpf,0,0,0,0,1.07,4.28,0
21Day,0,0,0,0,1.34,1.34,0
3Month,0,0.32,0.32,0,0,0,0
