stage,Erythroid_progenitor_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Macrophage,Primordial_germ_cell,T_cell
24hpf,4.09,0,0,0,0,0
21Day,0,0,0,1.34,0,0
22Month,0,1.09,0.55,0,2.19,1.64
