stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,4.09,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,1.07,0,0,0,0,0,0,0,0,0,5.35,0,14.98,0,0,0,1.07,2.14,0,0,0,0,0,0,1.07,0,0,0,0,0
21Day,1.34,16.06,0,4.02,1.34,0,0,0,0,0,0,0,0,0,2.68,37.48,0,0,22.76,4.02,2.68,2.68,0,1.34,0,1.34,1.34,32.12,1.34,0,0,0,1.34
3Month,0,19.84,0.64,19.52,0,0.96,1.92,2.24,0,8.64,2.56,0,2.56,3.2,1.28,17.92,6.08,0,19.2,24.32,0.32,0,0,0.32,0.32,0.32,3.2,0.96,0,7.04,0.64,2.24,2.56
22Month,0.55,41.55,1.09,4.92,0,0,1.09,1.64,1.64,28.97,1.09,0.55,4.92,0.55,1.09,5.47,3.28,1.09,6.01,3.28,0,0,0.55,0,0,0.55,10.39,0.55,0,1.09,1.09,0,0.55
