stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.12,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0
72hpf,50.28,22.47,0,46,95.21,139.07,0,17.12,0,0,0,1.07,1.07,0,2.14,0,130.51,113.4,5.35,2187.72,2.14,2.14,1.07,678.25,315.59,4.28,4.28,146.56,2.14,0,62.05,17.12,4.28,7.49,0,0
21Day,61.57,16.06,9.37,287.78,6.69,172.67,0,26.77,4.02,8.03,0,0,61.57,4.02,53.54,30.79,12.05,125.82,38.82,959.73,0,44.17,4.02,290.46,156.61,1.34,9.37,103.07,61.57,0,26.77,12.05,38.82,6.69,1.34,49.53
3Month,0,0,0,0.32,0,0,0.32,0,0,0,0,0,0,0,0,1.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0,0,0,0,0,0
22Month,0,0,0,0,0,0,0,0,0,0,1.09,0,11.48,0,0,2.73,0,0,0,0,0,0,0,0.55,0,0,0,0,0,0,0,0,0,0,0,0
