stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
72hpf,0,0,2.14,0,1.07,0,0,0,0,0,0,0,0,1.07,1.07,6.42,1.07,0,0,35.3,5.35,3.21,0,0,0,95.21,240.7,0,0
21Day,13.39,5.35,34.8,0,13.39,5.35,1.34,0,4.02,0,8.03,4.02,2.68,14.72,2.68,29.45,1.34,5.35,1.34,46.85,18.74,13.39,5.35,0,5.35,448.41,2204.56,1.34,2.68
3Month,0,0.32,2.56,0.32,0,0,0,0,0.96,0.32,0.32,0.64,0.32,0.96,0.32,0.32,0,0,0,0.64,0,0.32,0,1.6,0,1.92,3.2,0.96,0
22Month,0,0,0.55,0,0,0,2.19,0.55,3.83,0.55,0,1.09,0,0,1.09,1.09,0,0.55,0,0,0,0,0,2.73,0,22.41,5.47,0.55,1.09
