stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell
24hpf,0,0,16.35,0,0,0,0,0,4.09,4.09,28.6,0,0,122.59,0,8.17,0,0,0
72hpf,0,1.07,2.14,0,0,0,0,4.28,2.14,0,2.14,0,20.33,13.91,0,2.14,0,3.21,0
21Day,1.34,1.34,1.34,0,0,0,1.34,0,0,0,2.68,0,5.35,5.35,0,0,1.34,2.68,1.34
3Month,0,0,2.24,0.32,1.28,0,0,0,0.32,0,0,0,0,0,0.32,0,0,0,0
22Month,0,0,0.55,0,9.84,0.55,0,0,0,0,0.55,0.55,0,0,0,0,0,0,0
