stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,12.26,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,20.43,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,1.07,0,1.07,0,0,0,0,0,0,0,0,7.49,0,0,9.63,0,0,1.07,22.47,2.14,0,0,3.21,0,0,0,0,0,0,0,0
21Day,0,0,14.72,1.34,2.68,1.34,0,0,0,0,0,0,0,0,2.68,0,16.06,0,1.34,0,68.27,5.35,0,0,12.05,1.34,0,0,2.68,6.69,6.69,0,0
3Month,0,0.96,2.88,0,0,0,0,0.64,0,6.72,0,0.32,0.96,0.32,0,0.32,10.56,2.88,0.32,0,3.84,0,0.64,0,0,0,15.68,0.32,0,0,0,1.28,0.96
22Month,0,1.09,2.73,0,0,0,0.55,3.28,0.55,27.33,1.09,0,3.28,0,0.55,4.37,17.49,0.55,0,0,10.39,0,0,0.55,0,0,6.01,2.19,0.55,0,0,0,0
