stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,T_cell
24hpf,4.09,0,4.09,0,0,0,0,0,0,0,0,16.35,12.26,0,8.17,98.07,0,12.26,0,0,0,0,0
72hpf,1.07,0,1.07,0,1.07,0,0,0,0,0,1.07,1.07,6.42,0,7.49,12.84,0,7.49,0,1.07,0,1.07,0
21Day,1.34,2.68,14.72,4.02,2.68,0,0,2.68,0,2.68,10.71,1.34,9.37,0,4.02,5.35,1.34,2.68,1.34,0,1.34,1.34,4.02
3Month,0,0,0,0,0,0.96,0.32,0,0,0,0,0,0,0.32,0,0,0,0,0,0,0,0,0
22Month,0,0,0,0,0,0.55,0,0,1.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
