stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.07,0,0,4.09,0,28.6,0,0,0,0,0,0,4.09,0,0,0
72hpf,5.35,0,0,6.42,0,1.07,0,0,0,0,0,0,0,0,0,0,0,12.84,0,53.49,0,2.14,0,104.84,6.42,1.07,2.14,37.44,0,0,4.28,1.07,0,0,0
21Day,1.34,12.05,0,12.05,0,0,0,0,0,0,0,0,1.34,0,1.34,0,0,2.68,0,123.15,0,14.72,0,29.45,2.68,0,0,33.46,6.69,0,0,0,10.71,0,0
3Month,0.64,63.67,1.28,49.59,0.32,0,0,0.32,0.32,0.96,3.2,0,15.36,7.04,0.32,4.8,1.6,4.48,3.2,60.15,20.8,11.2,1.6,0.32,0.32,3.52,0.32,0.64,0.64,4.16,1.6,1.28,332.75,2.88,2.56
22Month,1.64,157.98,0.55,20.23,0,0,1.09,0,0.55,0.55,3.28,1.64,39.36,1.09,1.09,4.92,0,0.55,2.19,77.08,6.56,14.21,0,1.64,0.55,5.47,1.09,1.09,0.55,1.64,0.55,0,42.64,0,1.64
