stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Hepatocyte,Immune_progenitor_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte
24hpf,4.09,0,12.26,0,4.09,0,0,0,4.09,12.26,73.56,0,0,20.43,445.42,12.26,0,0,0,0,0,0
72hpf,0,1.07,0,1.07,0,0,1.07,2.14,4.28,1.07,12.84,1.07,0,9.63,46,10.7,0,2.14,0,0,1.07,0
21Day,2.68,0,5.35,1.34,1.34,1.34,1.34,0,2.68,0,20.08,0,1.34,2.68,24.09,5.35,1.34,2.68,1.34,1.34,0,0
3Month,0,0,0,0,0,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32
