stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,T_cell
24hpf,0,16.35,4.09,0,0,0,0,0,0,0,4.09,4.09,0,4.09,73.56,4.09,0,0,0
72hpf,2.14,37.44,17.12,0,0,0,0,0,0,6.42,2.14,8.56,0,4.28,16.05,12.84,0,0,0
21Day,0,115.11,6.69,2.68,0,0,0,1.34,1.34,2.68,1.34,8.03,1.34,1.34,2.68,4.02,2.68,1.34,0
3Month,0,9.28,0,0,0.32,0,0.32,0,0,0.96,0,0.96,0,0,0,0,0,0.32,0
22Month,0,1.64,0,0,0,2.19,0,0,0,0,0,0.55,0,0,0,0,0,1.09,0.55
