stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,4.09,8.17,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,0,16.05,0,0,0,0,0,0,0,0,0,2.14,0,0,0,0,0,0,6.42,5.35,0,1.07,0,1.07,0,0,0,0,0,0,0
21Day,4.02,0,0,6.69,33.46,0,9.37,0,0,0,0,1.34,1.34,0,2.68,1.34,8.03,0,0,1.34,0,1.34,4.02,1.34,2.68,0,2.68,0,0,0,1.34,0,0,0
3Month,0,0.64,0.64,9.6,0,0.32,0,1.28,0.32,15.04,0.96,0,6.4,1.28,2.24,3.2,1.28,0.64,0,0.96,0.96,0,0.32,0,0,0,0,1.28,8.96,0,0,1.92,360.26,0.96
22Month,0,0,0.55,1.64,0,0,0.55,0,0.55,10.93,0.55,0.55,1.09,0.55,0,0.55,0,0,1.09,0,0,0,0,0,0,1.09,0.55,0,0.55,0.55,0,0,0,0.55
