stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_progenitor_cell
24hpf,12.26,4.09,4.09,4.09,12.26,8.17,4.09,24.52
21Day,0,0,0,0,0,0,0,2.68
