stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell
72hpf,1.07,1.07,0,3.21,0,0,0,0,0,0,0,0,0,2.14,0,72.75,4.28,0,1.07,0,0,0,32.09,22.47,0
21Day,0,9.37,1.34,4.02,0,0,0,4.02,1.34,0,0,1.34,0,2.68,0,16.06,5.35,1.34,0,2.68,0,0,112.44,226.21,0
3Month,0,0.32,0.32,0,0,0,0,0,0,0.32,0,0,0,0,0.32,0.64,0,0,0,0,0.64,0,0,0,0.32
22Month,0,1.64,0,0,0.55,1.64,0.55,6.56,0,1.64,0.55,0,1.64,0.55,0,0,0,0,0,0.55,0,1.64,176.02,0,0
