stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,57.21,0,0,12.26,0,36.78,0,12.26,0,4.09,0,8.17,0,0,0,1704.03,20.43,0,8.17,0,0,4.09,53.12,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,14.98,2.14,0,0,0,0,2.14,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,6.69,0,1.34,1.34,0,2.68,0,4.02,0,0,10.71,5.35,0,1.34,1.34,26.77,8.03,0,0,1.34,0,0,1.34,0,0,1.34,0,0,1.34,1.34,0,4.02,0,0
3Month,0.64,5.76,1.28,12.48,0,0.64,0.64,2.24,24,0,18.88,198.37,0.64,8.96,3.2,6.08,42.55,16.64,1.92,0.32,3.2,2.88,0.64,0,0.32,0.96,1.6,0.32,3.52,1.6,0,0.32,497.84,7.04,1.92
22Month,0,1.64,0,2.19,0,0,1.09,0,16.95,0.55,47.01,102.77,0,2.73,0,1.09,37.17,4.37,0,0,0.55,0,0,0,0,0,1.09,0,0.55,0,0,0,55.76,0,0.55
