stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell
24hpf,0,0,0,0,0,0,0,0,0,0,4.09,0,0,4.09,0,0
72hpf,1.07,1.07,0,1.07,0,0,0,1.07,0,0,3.21,0,0,1.07,12.84,0
21Day,2.68,0,0,1.34,0,1.34,0,0,0,0,14.72,2.68,0,0,9.37,0
3Month,0.32,0,0.96,0,0.64,0,0,0.32,0.32,0,0.64,0,0.32,0,0,0.32
22Month,0,0,0,0,10.93,0,1.09,0,0.55,0.55,1.64,0,0,0,0,0
