stage,Epithelial_cell,Erythrocyte,Hepatocyte,Nephron_cell,Neural_cell,Osteoblast,Primordial_germ_cell,Retinal_pigment_epithelial_cell
24hpf,0,0,0,0,49.04,0,0,0
72hpf,0,1.07,0,0,11.77,0,0,2.14
21Day,1.34,0,0,0,1.34,1.34,2.68,5.35
3Month,0.32,0,0,1.28,0,0,1.92,0
22Month,0,0,1.09,0,0,0,0.55,0
