stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte
24hpf,0,4.09,0,0,0,0,0,0,0,0,0,4.09,0,12.26,0,0,0,0,4.09,36.78,0,0,0,0,0,0,0,0,0,0
72hpf,3.21,0,0,1.07,7.49,0,0,0,0,0,0,3.21,3.21,0,7.49,0,0,0,180.79,22.47,0,0,3.21,0,0,1.07,0,0,0,0
21Day,2.68,1.34,4.02,0,2.68,1.34,0,0,0,0,4.02,0,1.34,2.68,2.68,0,1.34,0,165.98,2.68,4.02,0,5.35,1.34,1.34,0,2.68,0,0,0
3Month,0,0.96,4.8,0.64,0,0,0.64,0.32,2.56,0.64,2.56,2.24,1.6,0.64,1.6,1.6,0.96,0.64,1.28,0,0.32,0,0,0.64,6.08,0,0,0,0.32,1.92
22Month,0.55,1.09,1.64,0.55,0,0,0,1.64,19.13,0.55,7.11,1.64,1.64,1.64,4.37,0,0,0,0.55,0,0,0.55,0,0,3.28,0,0,0.55,0.55,0
