stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,28.6,0,0,0,0,4.09,0,0,0,0,12.26,114.42,8.17,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,17.12,0,0,0,0,0,0,0,0,0,8.56,329.5,1.07,0,0,1.07,0,10.7,6.42,0,0,2.14,0,0,2.14,0,8.56,0,0,0
21Day,0,0,0,44.17,1.34,0,0,0,0,1.34,0,2.68,0,5.35,48.19,9.37,1.34,0,0,0,2.68,0,0,0,1.34,0,0,0,1.34,6.69,0,0,0
3Month,0,0.64,0,59.51,0,3.2,0.96,0,0,23.68,4.48,0,6.4,2.56,3.52,13.76,1.6,0.96,0,0.32,0.32,0,0.32,0,0,0.32,3.52,0,0,0.32,1.6,2.24,0.32
22Month,0,0,0.55,44.28,0,7.65,1.09,1.09,0,125.18,3.83,1.09,8.75,2.73,2.73,27.33,0.55,0,2.19,0,0,0,2.19,1.09,0,0,2.19,0,0,0,0.55,0,0.55
