stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Hepatocyte,Ionocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell
24hpf,0,0,0,0,0,0,0,0,8.17,0,0,0,0
72hpf,0,0,1.07,0,0,0,0,14.98,1.07,0,0,0,0
21Day,1.34,1.34,0,0,0,0,0,4.02,1.34,2.68,0,0,0
3Month,0,0.64,0,0.64,1.28,0.32,0.64,0.32,0,0,0.64,0.32,0.32
22Month,0,0.55,0,0,1.09,0,0,0,0,0,0,0,0
