stage,Endothelial_cell,Epithelial_cell,Goblet_cell,Hepatocyte,Immune_progenitor_cell,Keratinocyte,Muscle_cell,Neural_cell,Neural_progenitor_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,4.09,0,0,0,0,0,0,0,12.26,0,0
72hpf,0,1.07,0,0,0,2.14,0,7.49,0,1.07,0
21Day,0,0,1.34,0,1.34,0,0,0,1.34,0,0
3Month,0,0,0,0.96,0,0,0.32,0,0,0,0.32
