stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,8.17,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,40.86,0,0,0,0,0,0,0,0
72hpf,0,1.07,4.28,2.14,2.14,0,0,0,0,0,0,12.84,0,8.56,0,0,0,31.02,17.12,0,1.07,4.28,1.07,0,2.14,0,0
21Day,1.34,2.68,12.05,0,1.34,0,0,0,0,2.68,0,8.03,5.35,1.34,0,1.34,0,5.35,4.02,0,0,4.02,0,0,0,0,2.68
3Month,0,0.32,6.4,0.64,0,0.32,0.96,5.76,1.28,0,2.56,0.64,2.56,0.96,0.32,0.96,0.64,0.32,0,1.6,0.32,0,0,2.24,0,1.92,1.6
22Month,0,0,0.55,0,0,0,1.09,4.37,0,0,2.19,0.55,0,1.09,0,0,0,0,0,0,0,0,0,0,0,0,0
