stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,8.17,0,0,0,0,0,0,0,0
72hpf,0,0,0,2.14,1.07,0,0,0,0,0,0,0,0,3.21,0,0,1.07,0,0,5.35,4.28,0,0,0,0,1.07,0,0,0
21Day,1.34,0,0,2.68,1.34,1.34,0,1.34,0,0,0,0,1.34,0,4.02,1.34,1.34,0,0,0,2.68,0,1.34,2.68,0,0,1.34,0,0
3Month,0,0,0,2.24,0.32,0,0.32,0,0,0,3.84,0.64,3.52,0,0.96,0,1.28,0,0.32,0,0,0.96,0.32,0.32,2.88,0,0,1.6,0.64
22Month,0,1.64,0.55,4.92,0,0,0,1.09,1.09,1.09,63.41,0,0.55,0,0,2.19,0,4.92,0,0,0.55,1.09,0,0,0,0,0,0,0
