stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell
24hpf,0,0,0,0,0,0,0,0,0,0,4.09,8.17,4.09,40.86,0,0,0,0,0,0
72hpf,0,0,1.07,0,0,0,0,0,1.07,2.14,0,7.49,17.12,3.21,0,5.35,0,1.07,0,1.07
21Day,1.34,2.68,0,0,0,0,0,0,0,0,0,2.68,9.37,0,1.34,2.68,0,4.02,1.34,0
3Month,0,0.32,0,0.64,0.32,0,0,0,0.32,0.96,0.64,1.28,0.32,0,0,0,0.96,0,0,0
22Month,0,1.64,0,2.19,2.73,0.55,0.55,0.55,0,0,0.55,2.73,0,0,0.55,0,0.55,0,0,0
