stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,18.19,0,0,0,0,5.35,0,0,1.07,0,0,0,0,1.07,0,0,0,0,0,0
21Day,1.34,1.34,8.03,1.34,1.34,1.34,0,0,0,36.14,0,0,32.12,0,2.68,2.68,5.35,0,0,1.34,0,2.68,1.34,1.34,4.02,0,2.68,4.02,0,1.34,1.34,0,0
3Month,0,0,3.52,6.72,0,0,0.32,1.6,2.56,227.8,2.24,0,104.94,0,2.24,0.96,0.96,0.32,0.32,0.64,0.32,0.32,0,0.32,6.08,0.32,0.32,0,0.32,0,0.32,1.28,0.64
22Month,0,1.64,1.09,0.55,0,0,1.64,0.55,1.09,261.3,0.55,0.55,73.8,0,0,0,1.09,0,3.83,0,0,0.55,0,0,0,0.55,0,0,0,0,0,0,0.55
