stage,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Neurosecretory_cell,Pancreatic_cell,T_cell
21Day,0,0,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0
3Month,0,0,0,0,0,1.6,0,0,0,0,0,0.32,0,0,0.32,0
22Month,3.83,3.83,0,4.37,3.28,13.12,0.55,0.55,52.48,4.92,0.55,0.55,0.55,1.09,0,0.55
