stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Retinal_cell,Retinal_pigment_epithelial_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,4.09,0,0,0,0,8.17,0,0,0,0
72hpf,1.07,1.07,0,1.07,0,0,0,0,1.07,0,0,0,0,13.91,0,3.21,4.28,3.21,0,1.07,1.07
21Day,1.34,0,0,0,0,0,0,0,0,0,0,2.68,0,9.37,0,0,0,2.68,0,0,0
3Month,0,0,0.32,1.28,0,0,0.32,0,1.6,0.32,0.32,0.32,1.92,2.24,0,0.64,0,0,0.32,0,0
22Month,0.55,1.09,0,2.19,0.55,0.55,1.64,0.55,21.32,2.19,1.64,1.09,2.19,8.75,1.64,0,0,0,1.64,0,0
