stage,Cardiomyocyte,Epithelial_cell,Hepatocyte,Immune_progenitor_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Spermatocyte
24hpf,0,4.09,0,0,0,0,0,0,12.26,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,2.14,0,0
21Day,1.34,2.68,0,1.34,1.34,1.34,1.34,4.02,0,0,0,0
3Month,0,0.32,0.32,0,0,0,0,0,0,0,0.64,1.28
