stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,4.09,0,0,0,0,0,4.09,12.26,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,0,1.07,0,0,0,0,0,0,0,0,0,1.07,0,4.28,0,0,0,0,123.03,21.4,0,4.28,0,0,19.26,0,4.28,0,0
21Day,0,0,0,1.34,9.37,0,1.34,0,0,0,0,1.34,1.34,0,1.34,0,16.06,0,0,1.34,0,113.78,5.35,0,0,5.35,0,6.69,9.37,2.68,0,0
3Month,0,0,0,1.28,0,0.32,0,0.32,0,7.04,2.24,0,2.56,0,3.52,0.96,0.96,0,0,0.32,0,0,0,0,0,0.64,1.28,0.32,0,0,0.64,0.96
22Month,0,1.09,1.09,3.28,0,0.55,0,2.73,1.64,74.35,7.11,0,10.39,0,1.64,1.64,4.92,0.55,1.64,1.64,0.55,1.09,0,0.55,0,0,0.55,1.09,0,0,0,0
