stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,20.33,1830.41,0,5.35,0,0,0,0,0,2.14,0,1.07,21.4,0,6.42,0,0,1.07,0,71.68,19.26,0,14.98,0,0,1.07,1.07,0,0,0,0
21Day,10.71,0,28.11,2620.85,0,219.52,0,1.34,0,2.68,1.34,16.06,2.68,1.34,22.76,18.74,28.11,0,1.34,8.03,0,38.82,14.72,2.68,13.39,25.43,0,4.02,5.35,30.79,1.34,0,4.02
3Month,0,0.96,3.2,0,12.16,3.2,0.64,3.2,0,37.43,2.24,0.96,3.52,0.32,0.96,2.56,1.92,0.96,0,0.96,1.28,0,0,0,0,1.28,0.64,0,0,0,0,0.32,0.32
22Month,0,1.64,2.19,0,13.12,7.65,0.55,9.84,1.64,31.16,4.92,2.19,6.01,0,1.09,2.73,3.83,0,1.09,1.09,0,0.55,0,1.09,0,0,0.55,1.09,0,0,0,0,1.09
