stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,8.17,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,8.17,0,0,0,0,4.09,147.11,0,0,0,0,0,0,0,0,0,0
72hpf,3.21,0,2.14,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,4.28,0,3.21,0,0,0,0,70.61,33.16,1.07,0,3.21,0,0,5.35,0,0,0,0
21Day,2.68,2.68,5.35,0,2.68,0,0,0,0,0,0,0,0,0,1.34,1.34,0,0,1.34,9.37,0,0,0,0,34.8,8.03,0,1.34,4.02,0,0,2.68,1.34,0,0,0
3Month,0,4.48,14.4,0,0,0.64,0.96,0.32,2.24,2.24,0,0,131.82,2.88,1.6,5.76,1.92,7.36,4.8,18.24,1.28,0,0.64,0.32,1.92,0.64,1.6,0.96,0.32,2.88,8.64,0.64,0,1.28,5.44,1.92
22Month,0,4.37,5.47,0.55,0,0.55,0,0,0,2.73,2.73,0,78.17,0.55,2.73,6.56,0.55,2.73,2.73,8.75,0,1.64,0.55,0,0,1.09,1.64,1.09,1.09,0,1.09,0.55,0,0,0,1.09
