stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.35,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,2.14,0,0,4.28,1.07,0,0,0,0,0,0,0,1.07,3.21,0,7.49,0,0,1.07,169.03,21.4,5.35,0,7.49,0,1.07,9.63,25.67,23.54,2.14,0,0,0
21Day,4.02,4.02,0,17.4,18.74,0,2.68,1.34,0,0,1.34,1.34,0,4.02,0,25.43,0,5.35,0,493.92,20.08,4.02,4.02,9.37,21.42,0,5.35,66.93,54.88,5.35,0,0,0
3Month,0,0.32,0,2.56,0,0,0.32,0,2.88,0.32,0,1.92,0.32,1.92,0,0.96,0.32,0.32,0,0.64,0,0,0.32,0,0,4.16,0,0,0,0.64,0.32,7.68,0.32
22Month,0,1.09,0.55,1.09,0,0.55,1.64,1.09,21.32,0,0.55,0.55,0,0,1.64,3.28,0,0,0,1.64,0,0,0.55,0.55,0,0.55,0,0.55,0,0,0,0,0
