stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,28.6,8.17,0,44.95,0,0,0,0,0,0,0,4.09,0,0,0,0,4.09,16.35,16.35,77.64,0,0,0,8.17,2349.68,0,0,8.17,0,0,0,0,8.17,0,0,0
72hpf,3.21,1.07,0,0,2.14,1.07,0,0,0,0,0,0,0,0,0,0,1.07,13.91,0,8.56,0,1.07,1.07,58.84,32.09,0,0,9.63,0,0,2.14,0,0,0,0,0
21Day,4.02,1.34,0,38.82,0,1.34,0,0,1.34,0,0,0,0,0,6.69,0,2.68,17.4,0,33.46,0,0,2.68,13.39,8.03,0,0,6.69,2.68,0,1.34,0,0,0,0,8.03
3Month,0,0.32,0,5.44,0,0,0.32,0.32,11.2,1.28,0,0,7.36,1.92,0.32,1.6,0.32,2.56,1.6,2.56,2.56,0,0.32,0.32,0.32,0,0.32,1.28,0.32,3.84,0,0,0,0.32,0.32,3.2
22Month,0,3.83,1.09,19.13,0,0,0,0.55,14.76,8.2,5.47,0,123,2.19,3.28,8.2,1.09,1.09,10.39,9.84,1.09,7.65,2.19,2.73,0,2.19,0.55,0,0,2.73,0.55,0.55,0,0.55,0,4.37
