stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0
21Day,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.39,0,1.34,0,1.34,0
3Month,0,0.96,0.64,3.52,0.32,1.6,1.28,10.24,2.24,0.96,4.8,2.88,2.56,2.56,3.52,0.32,0.32,1.6,0.64,0.32,0.96,3.52,393.22,0.32,0,1.28,22.4,2.24
22Month,0,0,0,0,0,0,0,5.47,0,0,0,0.55,0,0,0.55,0,0,0,0,0,0,0,57.4,0.55,0,0,0.55,0
