stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,3.21,0,0,0,5.35,2.14,0,1.07,0,0,0
21Day,1.34,0,6.69,0,1.34,0,0,0,5.35,1.34,5.35,0,0,4.02,0,1.34,2.68,0,0
3Month,0,0,1.6,0.32,0,1.28,0,0.64,0,0,0,0.32,0,0,0,0,0,0.32,0.32
22Month,0,0.55,1.09,0.55,0.55,1.09,0.55,1.64,0,0,0,0,0,0,1.09,0,0,0,0
