stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,8.17,4.09,4.09,8.17,0,0,0,0,0,32.69,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,3.21,0,1.07,0,0,0,14.98,0,0,0,0,0,0,1.07,4.28,0,0,0,3.21,0,0,3.21,5.35,0,0,0,0,1.07,0,0,1.07,0,0,0,0,0
21Day,17.4,1.34,0,346.68,2.68,20.08,0,2.68,0,72.28,0,0,2.68,4.02,16.06,5.35,10.71,88.34,939.65,25.43,0,0,95.04,0,24.09,8.03,1.34,0,0,4.02,6.69,0,0,1.34,2.68,5.35,0,0,1.34
3Month,0.64,2.24,2.24,183.97,0,0,2.88,0,11.84,394.5,0,0,29.12,303.95,0.64,14.72,7.36,10.24,270.04,13.12,4.8,0.32,4.48,2.88,2.24,0,0.64,1.28,0,0.64,9.6,1.28,8,0.32,1.28,0,1.92,5.44,7.36
22Month,0,3.83,2.73,504.56,0,0,0.55,0,6.56,72.16,1.64,0,50.84,77.08,1.64,4.92,1.64,1.09,156.89,4.92,0,0,1.09,0,0,0.55,0,0,0.55,0,0.55,0,2.73,0,2.19,0,0.55,0,0.55
