stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,102.16,0,0,882.66,0,0,0,4.09,0,0,0,0,8.17,12.26,4.09,122.59,0,61.3,1156.45,0,0,0,0,0,0,0,0,0
72hpf,18.19,2.14,0,25.67,0,0,0,0,0,0,0,0,11.77,9.63,0,64.19,0,63.12,48.14,1.07,1.07,142.28,1.07,0,12.84,0,0,0
21Day,9.37,2.68,9.37,13.39,1.34,0,0,0,0,0,2.68,2.68,0,2.68,0,44.17,2.68,9.37,4.02,1.34,0,89.68,1.34,0,4.02,1.34,0,0
3Month,0,3.52,16.64,4.8,0,7.68,1.6,0,6.72,0.64,0.64,2.56,0,0.32,4.8,12.48,51.83,0.32,0,1.28,0,0.32,0.32,0.64,0,0,0.32,0.32
22Month,0,0.55,0.55,1.09,0,0,0,0,4.37,0,0,0,0,0,0,0,3.83,0,0,0.55,0,0,0,0,0.55,0,0,0
