stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Radial_glia,Retinal_pigment_epithelial_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,8.17,20.43,0,0,0,0
72hpf,3.21,0,0,0,0,0,0,2.14,0,2.14,0,67.4,6.42,0,1.07,2.14,0
21Day,0,0,0,0,2.68,1.34,2.68,0,1.34,2.68,0,21.42,4.02,0,1.34,0,0
3Month,0,0,0.32,0,0.32,0,0.64,0,0,0.32,0.32,0.32,0.32,0,0,0,0.32
22Month,0,0.55,0,0.55,3.83,0,0,0.55,0,0.55,0,0.55,0,0.55,0,0,0
