stage,Epithelial_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Retinal_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,28.88,1.07,0,0,0,0,0,0,0
21Day,4.02,0,0,0,2.68,0,0,17.4,0,1.34,1.34,1.34,1.34,0,0,0
3Month,0,0.64,0,0.32,0,0.32,0,0,0,0.32,0,0,0,0,2.56,0.32
22Month,0,5.47,0.55,0,0,0.55,0.55,0,0,0.55,0,0,0,0.55,0,0
