stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,4.09,0,0,0,0,0,0,4.09,4.09,0,0,0,0,4.09,69.47,0,0,0,0,0,0,0,0,0,8.17,0,0,0
72hpf,22.47,13.91,0,11.77,6.42,0,1.07,0,0,0,0,0,0,0,0,3.21,32.09,0,32.09,0,1.07,1.07,0,1692.41,64.19,2.14,13.91,0,28.88,1.07,1.07,10.7,2.14,1.07,1.07,0,0,0
21Day,5.35,1.34,0,32.12,16.06,0,4.02,0,0,0,0,0,0,8.03,5.35,1.34,14.72,1.34,127.16,0,0,2.68,0,716.12,10.71,0,13.39,0,29.45,21.42,4.02,12.05,2.68,4.02,4.02,0,0,4.02
3Month,0.32,1.28,0.64,8.64,0,0,0,1.28,2.56,0,0,25.6,0.64,0.32,3.84,1.28,2.88,0.32,20.16,9.28,0,2.56,0.32,4.48,0.32,13.12,0.96,0,0.64,1.6,82.87,0,0,0,0,0.32,62.39,1.28
22Month,0.55,3.28,0.55,13.12,0,0.55,0.55,2.19,9.29,3.28,0,121.36,3.28,1.64,10.39,0.55,1.64,5.47,24.6,1.09,2.73,1.64,0,4.37,0,10.39,44.83,0.55,0.55,0.55,26.79,0.55,0,0,0,1.09,0,1.09
